"","X","X1","row","replicate","delta_env","delta_gen","sample_size","n_pop","std_dev","interaction","gen","env","noise","int","gen_factor","exp_env_factor","phen","phen_corrected"
"86",1246566,86,11480,2,0.5,0.01,5,5,1,2.5,4,3,1.87980157438707,-1.69359260406328,"G_4","E_3",1.72620897032378,-0.0807889864754451
"87",1246567,87,11480,2,0.5,0.01,5,5,1,2.5,4,3,-0.365941886014456,-1.69359260406328,"G_4","E_3",-0.519534490077738,-0.86488512933247
"88",1246568,88,11480,2,0.5,0.01,5,5,1,2.5,4,3,-0.189536645429159,-1.69359260406328,"G_4","E_3",-0.343129249492441,-0.803293646974121
"89",1246569,89,11480,2,0.5,0.01,5,5,1,2.5,4,3,1.02988774638447,-1.69359260406328,"G_4","E_3",0.876295142321186,-0.377534436723148
"90",1246570,90,11480,2,0.5,0.01,5,5,1,2.5,4,3,-0.429861792456514,-1.69359260406328,"G_4","E_3",-0.583454396519796,-0.88720261704945
"91",1246571,91,11480,2,0.5,0.01,5,5,1,2.5,4,4,0.324991971796878,-1.97259808422653,"G_4","E_4",0.392393887570346,-0.546487442293059
"92",1246572,92,11480,2,0.5,0.01,5,5,1,2.5,4,4,-0.761128346342687,-1.97259808422653,"G_4","E_4",-0.693726430569219,-0.92570384307448
"93",1246573,93,11480,2,0.5,0.01,5,5,1,2.5,4,4,1.42135263207362,-1.97259808422653,"G_4","E_4",1.48875454784709,-0.16369564970359
"94",1246574,94,11480,2,0.5,0.01,5,5,1,2.5,4,4,-0.899115204382607,-1.97259808422653,"G_4","E_4",-0.831713288609139,-0.973881635890902
"95",1246575,95,11480,2,0.5,0.01,5,5,1,2.5,4,4,1.04055624690951,-1.97259808422653,"G_4","E_4",1.10795816268298,-0.296649828168701
"96",1246576,96,11480,2,0.5,0.01,5,5,1,2.5,4,5,0.509098289548657,-0.282299743659756,"G_4","E_5",2.7667985458889,0.282530460685254
"97",1246577,97,11480,2,0.5,0.01,5,5,1,2.5,4,5,-0.926754068056689,-0.282299743659756,"G_4","E_5",1.33094618828356,-0.218794074001011
"98",1246578,98,11480,2,0.5,0.01,5,5,1,2.5,4,5,-1.29203093069721,-0.282299743659756,"G_4","E_5",0.965669325643031,-0.34632964701795
"99",1246579,99,11480,2,0.5,0.01,5,5,1,2.5,4,5,-0.846454948376692,-0.282299743659756,"G_4","E_5",1.41124530796355,-0.190757821808322
"100",1246580,100,11480,2,0.5,0.01,5,5,1,2.5,4,5,-1.07003785382904,-0.282299743659756,"G_4","E_5",1.1876624025112,-0.268821276902436
"101",1246581,101,11480,2,0.5,0.01,5,5,1,2.5,5,1,1.19089777515489,2.00605392709473,"G_5","E_1",3.74695170224962,0.624748671653202
"102",1246582,102,11480,2,0.5,0.01,5,5,1,2.5,5,1,0.391200568561098,2.00605392709473,"G_5","E_1",2.94725449565582,0.34553623879962
"103",1246583,103,11480,2,0.5,0.01,5,5,1,2.5,5,1,-2.18612716591868,2.00605392709473,"G_5","E_1",0.36992676117605,-0.554331787587823
"104",1246584,104,11480,2,0.5,0.01,5,5,1,2.5,5,1,1.42676095721526,2.00605392709473,"G_5","E_1",3.98281488430998,0.707099756964812
"105",1246585,105,11480,2,0.5,0.01,5,5,1,2.5,5,1,-0.090039121321325,2.00605392709473,"G_5","E_1",2.4660148057734,0.177512512456873
"106",1246586,106,11480,2,0.5,0.01,5,5,1,2.5,5,2,-0.625318008706233,-4.77497869770734,"G_5","E_2",-4.35029670641357,-2.20238691036596
"107",1246587,107,11480,2,0.5,0.01,5,5,1,2.5,5,2,-0.247423031559078,-4.77497869770734,"G_5","E_2",-3.97240172926642,-2.07044575180943
"108",1246588,108,11480,2,0.5,0.01,5,5,1,2.5,5,2,0.892588114981293,-4.77497869770734,"G_5","E_2",-2.83239058272605,-1.67241349274788
"109",1246589,109,11480,2,0.5,0.01,5,5,1,2.5,5,2,0.534325692377109,-4.77497869770734,"G_5","E_2",-3.19065300533023,-1.79749999022535
"110",1246590,110,11480,2,0.5,0.01,5,5,1,2.5,5,2,0.0504851156044268,-4.77497869770734,"G_5","E_2",-3.67449358210291,-1.96643181021932
"111",1246591,111,11480,2,0.5,0.01,5,5,1,2.5,5,3,-1.5319477658481,2.54233578077313,"G_5","E_3",2.56038801492504,0.210462700485743
"112",1246592,112,11480,2,0.5,0.01,5,5,1,2.5,5,3,1.51972342015717,2.54233578077313,"G_5","E_3",5.6120592009303,1.27594664751985
"113",1246593,113,11480,2,0.5,0.01,5,5,1,2.5,5,3,-1.15191165473195,2.54233578077313,"G_5","E_3",2.94042412604118,0.34315143102279
"114",1246594,114,11480,2,0.5,0.01,5,5,1,2.5,5,3,-0.455871786305035,2.54233578077313,"G_5","E_3",3.6364639944681,0.58617214364269
"115",1246595,115,11480,2,0.5,0.01,5,5,1,2.5,5,3,1.30544870785951,2.54233578077313,"G_5","E_3",5.39778448863265,1.20113312656927
"116",1246596,116,11480,2,0.5,0.01,5,5,1,2.5,5,4,-0.203950463668618,2.02101473733569,"G_5","E_4",3.86706427366707,0.666685698574444
"117",1246597,117,11480,2,0.5,0.01,5,5,1,2.5,5,4,-0.967161159409285,2.02101473733569,"G_5","E_4",3.1038535779264,0.400212446722923
"118",1246598,118,11480,2,0.5,0.01,5,5,1,2.5,5,4,-1.54918625272106,2.02101473733569,"G_5","E_4",2.52182848461463,0.196999729527627
"119",1246599,119,11480,2,0.5,0.01,5,5,1,2.5,5,4,-0.737989101284234,2.02101473733569,"G_5","E_4",3.33302563605145,0.480227341565066
"120",1246600,120,11480,2,0.5,0.01,5,5,1,2.5,5,4,-2.0486926190207,2.02101473733569,"G_5","E_4",2.02232211831499,0.0225982352990495
"121",1246601,121,11480,2,0.5,0.01,5,5,1,2.5,5,5,1.19815253615649,-0.292795731250624,"G_5","E_5",3.45535680490587,0.522938986657773
"122",1246602,122,11480,2,0.5,0.01,5,5,1,2.5,5,5,-0.850346263063806,-0.292795731250624,"G_5","E_5",1.40685800568557,-0.1922896382666
"123",1246603,123,11480,2,0.5,0.01,5,5,1,2.5,5,5,-1.72803692661573,-0.292795731250624,"G_5","E_5",0.529167342133648,-0.498733306498251
"124",1246604,124,11480,2,0.5,0.01,5,5,1,2.5,5,5,-0.314166994212955,-0.292795731250624,"G_5","E_5",1.94303727453642,-0.00508388480503373
"125",1246605,125,11480,2,0.5,0.01,5,5,1,2.5,5,5,-0.235632642761448,-0.292795731250624,"G_5","E_5",2.02157162598793,0.0223362026362518
