"","X1","G_means","gen_factor","exp_env_factor","E_means","data.type","row"
"213","11",-0.843010285631389,"G_1","E_1",-0.0232390620853556,"raw.ne",1021
"214","21",0.843010285631389,"G_2","E_2",0.0232390620853555,"raw.ne",1021
"215","G_11",-0.843010285631389,"G_1","E_1",-0.0232390620853556,"mean.ne",1021
"216","G_21",0.843010285631389,"G_2","E_2",0.0232390620853558,"mean.ne",1021
"217","1",-0.827127135503258,"G_1","E_1",-0.916799475153379,"raw",1022
"218","2",0.377100433163461,"G_2","E_2",0.466772772813583,"raw",1022
"219","G_1",-0.827127135503258,"G_1","E_1",-0.91679947515338,"means",1022
"220","G_2",0.377100433163461,"G_2","E_2",0.466772772813583,"means",1022
"221","11",-0.702226773415419,"G_1","E_1",-0.501790975158823,"raw.ne",1022
"222","21",0.70222677341542,"G_2","E_2",0.501790975158824,"raw.ne",1022
"223","G_11",-0.702226773415419,"G_1","E_1",-0.501790975158824,"mean.ne",1022
"224","G_21",0.702226773415419,"G_2","E_2",0.501790975158824,"mean.ne",1022
"225","1",0.387340678868435,"G_1","E_1",-0.713736726606429,"raw",1023
"226","2",-0.332348147874451,"G_2","E_2",0.768729257600413,"raw",1023
"227","G_1",0.387340678868435,"G_1","E_1",-0.713736726606429,"means",1023
"228","G_2",-0.332348147874451,"G_2","E_2",0.768729257600413,"means",1023
"229","11",0.143411902915923,"G_1","E_1",-0.736940562917948,"raw.ne",1023
"230","21",-0.143411902915923,"G_2","E_2",0.736940562917948,"raw.ne",1023
"231","G_11",0.143411902915924,"G_1","E_1",-0.736940562917948,"mean.ne",1023
"232","G_21",-0.143411902915923,"G_2","E_2",0.736940562917948,"mean.ne",1023
"233","1",-0.106721082697039,"G_1","E_1",0.714303135072212,"raw",1024
"234","2",0.370798744856678,"G_2","E_2",-0.450225472912573,"raw",1024
"235","G_1",-0.106721082697039,"G_1","E_1",0.714303135072212,"means",1024
"236","G_2",0.370798744856678,"G_2","E_2",-0.450225472912573,"means",1024
"237","11",-0.496136625674338,"G_1","E_1",0.662318716890766,"raw.ne",1024
"238","21",0.496136625674338,"G_2","E_2",-0.662318716890766,"raw.ne",1024
"239","G_11",-0.496136625674338,"G_1","E_1",0.662318716890766,"mean.ne",1024
"240","G_21",0.496136625674339,"G_2","E_2",-0.662318716890766,"mean.ne",1024
"241","1",-0.932796818219481,"G_1","E_1",-0.525549118419746,"raw",1025
"242","2",0.774814320163967,"G_2","E_2",0.367566620364232,"raw",1025
"243","G_1",-0.93279681821948,"G_1","E_1",-0.525549118419746,"means",1025
"244","G_2",0.774814320163967,"G_2","E_2",0.367566620364232,"means",1025
"245","11",-0.62372786016378,"G_1","E_1",-0.566961509680588,"raw.ne",1025
"246","21",0.62372786016378,"G_2","E_2",0.566961509680588,"raw.ne",1025
"247","G_11",-0.62372786016378,"G_1","E_1",-0.566961509680588,"mean.ne",1025
"248","G_21",0.62372786016378,"G_2","E_2",0.566961509680588,"mean.ne",1025
"249","1",0.676782082528368,"G_1","E_1",0.663255163804699,"raw",1026
"250","2",-0.138200354953667,"G_2","E_2",-0.124673436229997,"raw",1026
"251","G_1",0.676782082528368,"G_1","E_1",0.663255163804699,"means",1026
"252","G_2",-0.138200354953667,"G_2","E_2",-0.124673436229997,"means",1026
"253","11",0.312792721821386,"G_1","E_1",0.779463203121492,"raw.ne",1026
"254","21",-0.312792721821386,"G_2","E_2",-0.779463203121492,"raw.ne",1026
"255","G_11",0.312792721821386,"G_1","E_1",0.779463203121492,"mean.ne",1026
"256","G_21",-0.312792721821386,"G_2","E_2",-0.779463203121492,"mean.ne",1026
"257","1",-0.539073468765821,"G_1","E_1",-0.66592856303587,"raw",1027
"258","2",0.388152253238775,"G_2","E_2",0.515007347508824,"raw",1027
"259","G_1",-0.539073468765821,"G_1","E_1",-0.66592856303587,"means",1027
"260","G_2",0.388152253238775,"G_2","E_2",0.515007347508824,"means",1027
"261","11",-0.482120822717555,"G_1","E_1",-0.701866946982005,"raw.ne",1027
"262","21",0.482120822717554,"G_2","E_2",0.701866946982004,"raw.ne",1027
"263","G_11",-0.482120822717554,"G_1","E_1",-0.701866946982005,"mean.ne",1027
"264","G_21",0.482120822717554,"G_2","E_2",0.701866946982005,"mean.ne",1027
"265","1",-0.350966842840954,"G_1","E_1",-0.502899378280135,"raw",1028
"266","2",0.908558467688189,"G_2","E_2",1.06049100312737,"raw",1028
"267","G_1",-0.350966842840954,"G_1","E_1",-0.502899378280135,"means",1028
"268","G_2",0.908558467688189,"G_2","E_2",1.06049100312737,"means",1028
"269","11",-0.684826873036679,"G_1","E_1",-0.525350634819733,"raw.ne",1028
"270","21",0.684826873036679,"G_2","E_2",0.525350634819733,"raw.ne",1028
"271","G_11",-0.684826873036679,"G_1","E_1",-0.525350634819733,"mean.ne",1028
"272","G_21",0.684826873036679,"G_2","E_2",0.525350634819733,"mean.ne",1028
"273","1",-1.0189853849753,"G_1","E_1",-0.710119004101103,"raw",1029
"274","2",0.654641175320206,"G_2","E_2",0.345774794446014,"raw",1029
"275","G_1",-1.0189853849753,"G_1","E_1",-0.710119004101103,"means",1029
"276","G_2",0.654641175320206,"G_2","E_2",0.345774794446014,"means",1029
"277","11",-0.666706930404992,"G_1","E_1",-0.549167845862934,"raw.ne",1029
"278","21",0.666706930404992,"G_2","E_2",0.549167845862934,"raw.ne",1029
"279","G_11",-0.666706930404992,"G_1","E_1",-0.549167845862934,"mean.ne",1029
"280","G_21",0.666706930404992,"G_2","E_2",0.549167845862934,"mean.ne",1029
"281","1",1.52315996098033,"G_1","E_1",-0.159357940959318,"raw",102
"282","2",1.05514274168983,"G_2","E_2",-0.0583853063562446,"raw",102
"283","3",0.589264935553499,"G_3","E_3",-0.123313965866596,"raw",102
"284","4",0.090768697765221,"G_4","E_4",-0.0322644513944674,"raw",102
"285","5",-0.141543260653931,"G_5","E_5",-0.0234072714539205,"raw",102
"286","6",-0.631851212971574,"G_6","E_6",-0.00859749776719345,"raw",102
"287","7",-1.06471163976258,"G_7","E_7",0.0259904913131506,"raw",102
"288","8",-1.57927865513501,"G_8","E_8",0.220287509950381,"raw",102
"289","G_1",1.52315996098034,"G_1","E_1",-0.159357940959321,"means",102
"290","G_2",1.05514274168982,"G_2","E_2",-0.0583853063562444,"means",102
"291","G_3",0.589264935553499,"G_3","E_3",-0.123313965866597,"means",102
"292","G_4",0.0907686977652179,"G_4","E_4",-0.0322644513944675,"means",102
"293","G_5",-0.141543260653932,"G_5","E_5",-0.0234072714539194,"means",102
"294","G_6",-0.631851212971574,"G_6","E_6",-0.00859749776719368,"means",102
"295","G_7",-1.06471163976258,"G_7","E_7",0.0259904913131502,"means",102
"296","G_8",-1.57927865513501,"G_8","E_8",0.220287509950379,"means",102
"297","11",1.48813615967104,"G_1","E_1",-0.139140305015414,"raw.ne",102
"298","21",1.08202796239296,"G_2","E_2",-0.0704525364827719,"raw.ne",102
"299","31",0.659313556858414,"G_3","E_3",-0.0452512949510484,"raw.ne",102
"300","41",0.15983172926888,"G_4","E_4",-0.047553602798592,"raw.ne",102
"301","51",-0.218095286450093,"G_5","E_5",-0.00920176980667745,"raw.ne",102
"302","61",-0.641710015237664,"G_6","E_6",0.0731292822727224,"raw.ne",102
"303","71",-1.06362860431324,"G_7","E_7",0.134096036534723,"raw.ne",102
