"","X1","row","Variance_Component","SS","abs.SS.","omega2","Pvalue"
"260",5,1048,"V_error",9.8612,9.8612,0.3929,NA
"261",1,1049,"V_g",2.0309,2.0309,0.0551,0
"262",2,1049,"V_e",24.0976,24.0976,0.6539,0
"263",3,1049,"V_gxe",0.8344,0.8344,0.0226,0
"264",4,1049,"V_cov",6.9957,6.9957,0.1898,0
"265",5,1049,"V_error",2.8941,2.8941,0.0785,NA
"266",1,104,"V_g",23.4917,23.4917,0.1085,0
"267",2,104,"V_e",94.6893,94.6893,0.4375,0
"268",3,104,"V_gxe",31.5151,31.5151,0.1456,0
"269",4,104,"V_cov",-45.5829,45.5829,0.2106,0
"270",5,104,"V_error",21.1714,21.1714,0.0978,NA
"271",1,1050,"V_g",1.3611,1.3611,0.0522,0.022
"272",2,1050,"V_e",3.5944,3.5944,0.1378,0.021
"273",3,1050,"V_gxe",0.48,0.48,0.0184,0.023
"274",4,1050,"V_cov",2.2119,2.2119,0.0848,0.022
"275",5,1050,"V_error",18.4373,18.4373,0.7068,NA
"276",1,1051,"V_g",16.157,16.157,0.1279,0
"277",2,1051,"V_e",16.3507,16.3507,0.1294,0
"278",3,1051,"V_gxe",35.3929,35.3929,0.2801,0
"279",4,1051,"V_cov",-14.2467,14.2467,0.1128,0
"280",5,1051,"V_error",44.199,44.199,0.3498,NA
"281",1,1052,"V_g",42.7295,42.7295,0.2472,0
"282",2,1052,"V_e",22.9106,22.9106,0.1325,0
"283",3,1052,"V_gxe",28.1214,28.1214,0.1627,0
"284",4,1052,"V_cov",-31.1884,31.1884,0.1804,0
"285",5,1052,"V_error",47.9074,47.9074,0.2771,NA
"286",1,1053,"V_g",7.9197,7.9197,0.066,0
"287",2,1053,"V_e",23.3451,23.3451,0.1946,0
"288",3,1053,"V_gxe",46.0414,46.0414,0.3837,0
"289",4,1053,"V_cov",-2.8808,2.8808,0.024,0
"290",5,1053,"V_error",39.8034,39.8034,0.3317,NA
"291",1,1054,"V_g",14.6753,14.6753,0.1308,0
"292",2,1054,"V_e",28.1232,28.1232,0.2508,0
"293",3,1054,"V_gxe",9.8558,9.8558,0.0879,0
"294",4,1054,"V_cov",-12.7033,12.7033,0.1133,0
"295",5,1054,"V_error",46.7977,46.7977,0.4173,NA
"296",1,1055,"V_g",36.5475,36.5475,0.2926,0
"297",2,1055,"V_e",17.3475,17.3475,0.1389,0
"298",3,1055,"V_gxe",11.1879,11.1879,0.0896,0
"299",4,1055,"V_cov",21.2856,21.2856,0.1704,0
"300",5,1055,"V_error",38.5271,38.5271,0.3085,NA
"301",1,1056,"V_g",14.4449,14.4449,0.1003,0
"302",2,1056,"V_e",13.8454,13.8454,0.0961,0
"303",3,1056,"V_gxe",49.5267,49.5267,0.3439,0
"304",4,1056,"V_cov",9.3488,9.3488,0.0649,0
"305",5,1056,"V_error",56.8356,56.8356,0.3947,NA
"306",1,1057,"V_g",10.2183,10.2183,0.0822,0
"307",2,1057,"V_e",47.3887,47.3887,0.3812,0
"308",3,1057,"V_gxe",10.6273,10.6273,0.0855,0
"309",4,1057,"V_cov",-17.2218,17.2218,0.1386,0
"310",5,1057,"V_error",38.8426,38.8426,0.3125,NA
"311",1,1058,"V_g",22.3893,22.3893,0.162,0
"312",2,1058,"V_e",28.2128,28.2128,0.2041,0
"313",3,1058,"V_gxe",11.1954,11.1954,0.081,0
"314",4,1058,"V_cov",21.6401,21.6401,0.1566,0
"315",5,1058,"V_error",54.7688,54.7688,0.3963,NA
"316",1,1059,"V_g",27.3235,27.3235,0.174,0
"317",2,1059,"V_e",10.9663,10.9663,0.0698,0
"318",3,1059,"V_gxe",68.1241,68.1241,0.4337,0
"319",4,1059,"V_cov",-0.1992,0.1992,0.0013,0
"320",5,1059,"V_error",50.4599,50.4599,0.3213,NA
"321",1,105,"V_g",34.8551,34.8551,0.1844,0
"322",2,105,"V_e",32.4506,32.4506,0.1717,0
"323",3,105,"V_gxe",77.0275,77.0275,0.4075,0
"324",4,105,"V_cov",21.9024,21.9024,0.1159,0
"325",5,105,"V_error",22.8093,22.8093,0.1207,NA
"326",1,1060,"V_g",23.9952,23.9952,0.1531,0
"327",2,1060,"V_e",8.0416,8.0416,0.0513,0
"328",3,1060,"V_gxe",73.7499,73.7499,0.4706,0
