"","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","true_cov","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_eta","GxE_eta","GxE_eta_lwrCI","GxE_eta_uprCI","GxE_eta_pvalue","true_GxE_SSq","GxE_SSq","GxE_SSq_lwrCI","GxE_SSq_uprCI","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue"
"1196",1,17138,1,2,0.237634193850681,-0.342931120656431,4,256,8,8,1,1.81523975954857,21.230382724603,0.49,0.16,-0.12,0.38,0.612,0.49,0.16,-0.08,0.37,0.616,5.44747802421975e-16,0.67,0.77,0.74,0.91,0,0.68,0.35,0.38,0.51,0,0.68,0.44,0.45,0.57,0,0.68,0.68,0.63,0.76,0.67,0.77,0.63,0.71,0
"1197",1,17139,1,2,0.651348036713898,-0.227115985006094,4,256,8,8,1,1.52329229444265,24.5105814258258,-0.21,-0.19,-0.34,-0.05,0.544,-0.21,-0.19,-0.33,-0.05,0.535,4.66464707127432e-10,0.57,0.61,0.59,0.76,0,0.48,0.22,0.25,0.39,0,0.48,0.31,0.32,0.45,0,0.48,0.48,0.44,0.6,0.57,0.61,0.52,0.63,0
"1198",1,17140,1,2,0.111288494663313,-0.720695366617292,4,256,8,8,1,0.745566315583419,18.0946430563927,-0.19,-0.16,-0.28,-0.06,0.609,-0.19,-0.16,-0.28,-0.06,0.593,0.35158788700584,0.23,0.39,0.4,0.57,0.99,0.08,0.01,0.04,0.16,0.44,0.08,0.1,0.12,0.22,1,0.08,0.16,0.17,0.3,0.23,0.39,0.32,0.44,0.02
"1199",1,17141,1,2,0.414618625771254,0.419268458615988,4,256,8,8,1,0.821522039133124,21.1430058161418,0.88,0.87,0.58,0.9,0.001,0.88,0.87,0.59,0.89,0,0.000694880089230566,0.38,0.52,0.51,0.7,0.28,0.26,0.1,0.13,0.29,0.02,0.26,0.21,0.22,0.37,0.32,0.26,0.36,0.33,0.51,0.38,0.52,0.44,0.56,0
"1200",1,17142,1,2,0.365452797850594,0.064181795809418,4,256,8,8,1,0.273739083143882,19.876577492555,0.19,0.29,0.18,0.4,0.336,0.19,0.29,0.18,0.39,0.351,0.1607372351122,0.2,0.41,0.4,0.57,0.94,0.06,0.02,0.06,0.18,0.3,0.06,0.12,0.13,0.25,0.99,0.06,0.18,0.19,0.34,0.2,0.41,0.33,0.47,0
"1201",1,17143,1,2,0.894593192730099,-0.519341011997312,4,256,8,8,1,1.36906196168391,14.3038653612137,-0.54,-0.41,-0.55,-0.27,0.179,-0.54,-0.41,-0.55,-0.27,0.161,0.000435741788633816,0.45,0.5,0.5,0.67,0.5,0.29,0.09,0.12,0.27,0.01,0.29,0.19,0.19,0.33,0.53,0.29,0.3,0.27,0.44,0.45,0.5,0.41,0.54,0
"1202",1,17144,1,2,0.391294226981699,-0.291705406270921,4,256,8,8,1,1.06985302951187,20.8186591188113,-0.73,-0.61,-0.73,-0.4,0.034,-0.73,-0.61,-0.73,-0.41,0.037,7.75106159141159e-07,0.41,0.57,0.54,0.73,0.1,0.29,0.15,0.16,0.3,0,0.29,0.23,0.23,0.36,0.13,0.29,0.35,0.31,0.48,0.41,0.57,0.44,0.55,0
"1203",1,17145,1,2,0.478102145018056,-0.409044322557747,4,256,8,8,1,1.08521154668182,20.4788912336032,-0.73,-0.65,-0.78,-0.4,0.025,-0.73,-0.65,-0.79,-0.38,0.025,1.72770335044949e-08,0.4,0.67,0.64,0.81,0,0.25,0.19,0.22,0.35,0,0.25,0.29,0.3,0.42,0,0.25,0.45,0.41,0.57,0.4,0.67,0.52,0.63,0
"1204",1,17146,1,2,0.830186750506982,0.452125604264438,4,256,8,8,1,1.86423370974837,20.4653162519137,0.53,0.6,0.38,0.8,0.037,0.53,0.6,0.36,0.79,0.04,6.78523599816892e-09,0.45,0.63,0.63,0.79,0,0.29,0.21,0.24,0.38,0,0.29,0.31,0.32,0.44,0,0.29,0.49,0.45,0.62,0.45,0.63,0.53,0.64,0
"1205",1,17147,1,2,0.387253662804142,-0.464798929635435,4,256,8,8,1,4.34927465766668,20.6504742304484,0.01,0.01,-0.33,0.37,0.983,0.01,0.01,-0.31,0.33,0.986,1.136560843484e-16,0.69,0.77,0.74,0.92,0,0.75,0.39,0.42,0.57,0,0.75,0.49,0.5,0.63,0,0.75,0.78,0.71,0.84,0.69,0.77,0.65,0.74,0
"1206",1,17148,1,2,0.830652297008783,0.746246831957251,4,256,8,8,1,4.63877108413726,24.1505111932755,0.26,0.4,0.08,0.59,0.191,0.26,0.4,0.06,0.6,0.17,2.84155174353026e-17,0.7,0.74,0.71,0.88,0,0.72,0.38,0.4,0.54,0,0.72,0.47,0.47,0.6,0,0.72,0.71,0.65,0.79,0.7,0.74,0.62,0.71,0
"1207",1,17149,1,2,0.251624799566343,-0.62765625724569,4,256,8,8,1,3.83793972665444,21.7543603579203,0.13,0.07,-0.15,0.29,0.84,0.13,0.07,-0.15,0.27,0.821,4.11506561544938e-09,0.63,0.7,0.67,0.86,0,0.58,0.25,0.28,0.44,0,0.58,0.36,0.37,0.51,0,0.58,0.64,0.58,0.74,0.63,0.7,0.62,0.71,0
"1208",1,17150,1,2,0.396120344521478,-0.0840514902956784,4,256,8,8,1,1.85512808799511,27.7489017327627,-0.06,-0.15,-0.42,0.18,0.599,-0.06,-0.15,-0.4,0.16,0.641,2.80191343602303e-15,0.67,0.75,0.75,0.91,0,0.74,0.36,0.39,0.54,0,0.74,0.46,0.47,0.6,0,0.74,0.73,0.67,0.81,0.67,0.75,0.61,0.71,0
"1209",1,17201,1,2,0.828891180688515,0.783546515740454,8,32,2,2,1,0.836590158753097,5.87079430421193,0.26,0.42,0.18,0.78,0.49,0.26,0.42,0.19,0.67,0.332,0.904355487350123,0.04,0.02,0,0.33,0.96,0,-0.01,-0.01,0.04,0.41,0,0,0,0.05,0.96,0,0,0,0.07,0.04,0.02,0,0.23,1
