"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
3,6.5,21.125,22.6225820573323,5.72830309186993,45.0479639744573
3,6.75,22.78125,22.3784412644479,6.53543782479295,42.2746464791041
3,7,24.5,23.7931685764136,6.40036772716638,47.6821368009895
3,7.25,26.28125,20.5163207396899,4.75748427736901,41.127952027299
3,7.5,28.125,28.4487507723377,7.25446698861928,57.0357240441457
3,7.75,30.03125,38.2273904334978,10.6634165328506,77.2927177293207
3,8,32,32.3110497586934,8.23435158475358,61.373379584506
3,8.25,34.03125,34.7158366232449,11.1878865857735,64.2942396832448
3,8.5,36.125,30.8346095530915,9.08124838454326,59.7575636456149
3,8.75,38.28125,36.6878034494193,10.6927581412224,68.3946934757139
3,9,40.5,41.4817430919755,11.3548959320709,81.5782663110515
3,9.25,42.78125,42.0206705914614,12.1915668299597,80.5726927388753
3,9.5,45.125,43.9013654509082,11.4292473298395,86.1943958233794
3,9.75,47.53125,48.4713903029512,12.0779009997681,92.0299145841845
3,10,50,45.3903535927046,12.7512692269227,91.1153121174129
4,1,0.5,0.63660066863312,0.0944455978671233,1.32977677414563
4,1.25,0.78125,1.10613736022435,0.0951868167049648,2.44999354223071
4,1.5,1.125,1.14396916672379,0.053572974068575,2.49412865730949
4,1.75,1.53125,2.38453355120357,0.150480493644987,5.2806663392861
4,2,2,3.62614898347572,0.97453281483806,6.93883611086852
4,2.25,2.53125,3.01373337133048,0.805634958940422,6.34538302871645
4,2.5,3.125,4.38834234102978,0.953971151569335,8.45447061942871
4,2.75,3.78125,2.45907866134443,0.594433606886977,5.16228861186542
4,3,4.5,4.68762931034461,1.47007144605394,8.57925699817974
4,3.25,5.28125,5.7225702235155,1.89811548444073,10.8903314588247
4,3.5,6.125,7.50973403586696,2.50596542279732,14.0614413376198
4,3.75,7.03125,4.55357920461198,1.43198847747977,8.60413405998276
4,4,8,5.98345690806494,1.90107201876567,11.3928256924658
4,4.25,9.03125,7.77497920679719,2.42361701507706,14.5424282255975
4,4.5,10.125,7.8085472891343,2.49873167640859,14.6398664504709
4,4.75,11.28125,11.3381824707423,3.78554071583112,21.1147949980651
4,5,12.5,12.0228568306093,4.28930065221281,22.3505507122781
4,5.25,13.78125,13.2725971148965,3.87317017269886,25.2126064447955
4,5.5,15.125,14.5322895623523,4.8044229141274,26.1749339835973
4,5.75,16.53125,15.8187178320967,5.74196583503681,28.8528791718138
4,6,18,18.948234993211,6.68159430059715,34.9924687020644
4,6.25,19.53125,21.4483474393282,7.10568082830157,38.1272712229424
4,6.5,21.125,20.4271141181747,7.81580060415521,35.8047191811601
4,6.75,22.78125,22.3152664984267,8.21770747017485,39.6460158674114
4,7,24.5,24.3953515759279,9.7158047586511,43.4906660818937
4,7.25,26.28125,25.5868406556804,10.2536110796922,45.8338367329011
4,7.5,28.125,23.6836080390301,8.91606604460662,43.8078191323534
4,7.75,30.03125,29.6406709738284,10.9006659114259,52.9044011705847
4,8,32,36.0193699596791,14.1098380949533,62.7510205309123
4,8.25,34.03125,38.6631746863815,14.1253412884512,70.2027784692541
4,8.5,36.125,36.6553507477762,14.594284392091,64.9891843458177
4,8.75,38.28125,37.1565022632388,13.7741564632824,66.863752813589
4,9,40.5,41.6679073156805,15.6076365197245,75.3811605688807
4,9.25,42.78125,42.5098572643218,17.6346835444656,74.6841746244844
4,9.5,45.125,48.2193896242592,19.9984832806257,85.6782628035442
4,9.75,47.53125,40.9128343960094,14.8930464294421,75.9933121500782
4,10,50,50.8973046004371,21.1563664159214,93.6405868618087
5,1,0.5,0.615419965538798,-0.0553483875551536,1.51244612849348
5,1.25,0.78125,1.24552880224823,0.00727505126545168,3.02826511981294
5,1.5,1.125,0.785337162137327,-0.262836937930581,1.89462878643482
5,1.75,1.53125,1.63306544228191,0.315454414867286,3.53950628078346
5,2,2,3.00924868281319,1.04351579477743,5.60855503310526
5,2.25,2.53125,3.64305927933718,1.29679299158318,6.48854201700958
