"","X.1","X","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","pop_cov","true_cov","cov_R","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means_R","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","true_cor","cor","cor_lwrCI","cor_uprCI","cor_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue","sig","meancoverror","coverror","meangxeerror","gxeerror"
"850",5654,5654,1,1813,2,1,0.735745986457914,0.817913672421128,2,8,2,2,0.5,1.72401536488906,2.6534450173378,0.412,0.825,0.785,0.785,0.639,3.913,0.169,0.825,0.785,0.785,0.406633333333333,0.99,0.664,1,1,1,1,0.823,0.021,0.487,0.527,0.343,0.727,0.004,0.316,0.315,0.236,0.513,0.026,0.487,0.527,0.32,0.727,0.001,TRUE,0.583366666666667,3.274,0.407,0.384
"851",5676,5676,1,1815,2,1,0.964650329900905,-0.935135472565889,2,8,2,2,0.5,0.664573540445417,2.5522244254748,-0.275,-0.549,0.215,0.215,-0.146,4.293,0.792,-0.549,0.215,0.215,-0.460683333333333,0.949366666666666,0.65,-1,1,-1,1,0.813,0.004,0.555,0.831,0.649,1.013,0.01,0.411,0.654,0.532,0.844,0.004,0.555,0.831,0.451,1.194,0,TRUE,1.41005,4.439,0.743,0.364
"852",5709,5709,1,1818,2,1,0.415047408314422,-0.302988088689744,2,8,2,2,0.5,1.79036685265601,2.5259891072909,0.062,0.124,0.961,0.961,1.87,20.366,0.01,0.124,0.961,0.961,-0.834733333333333,0.971,0.345,1,1,1,1,0.836,0,0.834,1.411,1.287,1.535,0,0.927,0.94,0.931,0.972,0.008,0.834,1.411,0.967,1.86,0,TRUE,1.80573333333333,18.496,0.893,0.248
"853",5775,5775,1,1824,2,1,0.0224169113207608,-0.510711108334363,2,8,2,2,0.5,0.765175155363977,2.40718421936035,0.231,0.463,0.892,0.892,-2752.819,88.269,0.125,0.463,0.892,0.892,-0.726683333333333,0.958683333333333,0.339,1,1,-1,1,0.825,0.143,0.803,0.39,0.1,0.681,0.327,0.859,0.215,0.117,0.76,0.055,0.803,0.39,0.038,0.82,0.31,FALSE,1.68536666666667,2841.088,0.782,0.581
"854",5786,5786,1,1825,2,1,0.187872965121642,-0.2417770200409,2,8,2,2,0.5,0.392902801278979,2.6674475590388,-0.176,-0.351,-0.975,-0.975,-4.106,-0.421,0.024,-0.351,-0.975,-0.975,-0.985,-0.214316666666667,0.331,-1,-1,-1,-1,0.815,0.463,0.067,0.195,0.004,0.512,0.768,0.006,-0.02,-0.054,0.42,0.421,0.067,0.195,0.011,0.574,0.837,TRUE,0.770683333333333,3.685,0.563,0.508
"855",5940,5940,1,1839,2,1,0.999693929683417,-0.458927089348435,2,8,2,2,0.5,0.870192998554558,2.5941855430603,-0.007,-0.013,0.138,0.138,-2.307,1.03,0.824,-0.013,0.138,0.138,-0.417466666666667,0.672416666666666,0.665,-1,1,-1,1,0.838,0.02,0.569,0.643,0.417,0.868,0,0.431,0.461,0.298,0.797,0.047,0.569,0.643,0.382,0.91,0,TRUE,1.08988333333333,3.337,0.528,0.451
"856",5962,5962,1,1841,2,1,0.0765585449989885,0.79053559107706,2,8,2,2,0.5,1.16342455521226,2.64854646126429,-0.306,-0.612,-0.24,-0.24,-4.013,0.171,0.762,-0.612,-0.24,-0.24,-0.924366666666667,0.495,0.999,-1,-1,-1,1,0.821,0.21,0.601,0.315,0.042,0.611,0.451,0.482,0.085,-0.005,0.602,0.166,0.601,0.315,0.023,0.676,0.469,FALSE,1.41936666666667,4.184,0.653,0.569
"857",5973,5973,1,1842,2,1,0.346928389044479,-0.362990987487137,2,8,2,2,0.5,1.6369630782865,2.62007556358973,0.092,0.184,0.621,0.621,0.419,3.967,0.247,0.184,0.621,0.621,0.06495,0.980683333333333,0.653,1,1,1,1,0.952,0.008,0.581,0.857,0.638,1.076,0,0.45,0.541,0.368,0.824,0.011,0.581,0.857,0.545,1.177,0,TRUE,0.915733333333333,3.548,0.632,0.438
"858",6017,6017,1,1846,2,1,0.595006184652448,0.252027856186032,2,8,2,2,0.5,1.43100922461599,2.55700818300247,0.289,0.578,0.989,0.989,-15.888,151.074,0.018,0.578,0.989,0.989,-0.6684,0.956416666666666,0.353,1,1,-1,1,0.839,0.029,0.825,0.701,0.423,0.988,0,0.907,0.578,0.488,0.9,0.019,0.825,0.701,0.413,0.995,0,TRUE,1.62481666666667,166.962,0.582,0.565
"859",6292,6292,1,1871,2,1,0.712323018815368,0.919696256518364,2,32,4,4,0.5,1.71843907392584,4.25639752944311,0.362,0.483,0.496,0.496,0.419633333333333,3.74636666666667,0.209,0.483,0.496,0.496,0.123316666666667,0.795683333333333,0.209,0.711,0.734,0.285,0.952,0.235,0,0.508,0.622,0.542,0.742,0,0.419,0.495,0.475,0.675,0.001,0.508,0.622,0.546,0.779,0,TRUE,0.672366666666666,3.32673333333334,0.233,0.2
"860",6369,6369,1,1878,2,1,0.0169722735881805,-0.541170406155288,2,32,4,4,0.5,3.53955403063446,4.62162706851959,0.24,0.319,0.076,0.076,-0.717416666666667,2.4165,0.845,0.319,0.076,0.076,-0.302783333333333,0.401566666666666,0.849,0.752,0.291,-0.595,0.929,0.712,0,0.645,0.632,0.577,0.701,0,0.752,0.667,0.645,0.814,0,0.645,0.632,0.563,0.733,0,TRUE,0.704349999999999,3.13391666666667,0.17,0.124
"861",6501,6501,1,1890,2,1,0.143479859689251,0.73802755586803,2,32,4,4,0.5,2.15936298202723,4.41993430058161,-0.2,-0.267,-0.372,-0.372,-3.8173,-0.429316666666667,0.339,-0.267,-0.372,-0.372,-0.785783333333333,0.21505,0.369,-0.355,-0.453,-0.729,-0.14,0.526,0,0.647,0.741,0.666,0.829,0,0.649,0.664,0.603,0.803,0,0.647,0.741,0.625,0.889,0,TRUE,1.00083333333333,3.38798333333333,0.264,0.163
"862",6612,6612,1,1900,2,1,0.513478401117027,-0.317348665557802,2,32,4,4,0.5,2.37601445522159,4.46196732918421,0.077,0.103,0.414,0.414,0.575,4.53168333333333,0.3,0.103,0.414,0.414,-0.0186833333333333,0.797416666666666,0.314,0.116,0.568,0.273,0.805,0.397,0,0.667,0.761,0.655,0.898,0,0.744,0.657,0.633,0.795,0,0.667,0.761,0.64,0.933,0,TRUE,0.816099999999999,3.95668333333333,0.293,0.243
"863",6824,6824,1,1928,2,1,0.029537812108174,-0.313966212794185,2,128,8,8,0.5,1.77869937236188,12.4551705559095,0.149,0.17,-0.211,-0.211,-7.3592,2.14783333333333,0.485,0.17,-0.211,-0.211,-0.552683333333333,0.267,0.496,0.172,-0.221,-0.57,0.192,0.582,0,0.788,0.893,0.843,0.973,0,0.927,0.734,0.767,0.87,0,0.788,0.893,0.847,0.991,0,TRUE,0.819683333333333,9.50703333333333,0.144,0.13
"864",6967,6967,1,1941,2,1,0.728506043087691,-0.1212761788629,2,128,8,8,0.5,6.67672615731135,12.6956597526868,-0.164,-0.187,-0.453,-0.453,-4.38888333333333,-1.28916666666667,0.097,-0.187,-0.453,-0.453,-0.659416666666667,-0.19695,0.119,-0.351,-0.616,-0.777,-0.359,0.079,0,0.67,0.737,0.695,0.805,0,0.711,0.612,0.64,0.751,0,0.67,0.737,0.692,0.832,0,TRUE,0.462466666666667,3.09971666666666,0.14,0.11
"865",7011,7011,1,1945,2,1,0.565359992207959,-0.065322938375175,2,128,8,8,0.5,6.87946772901341,12.2400418440501,0.27,0.309,0.195,0.195,-0.80335,5.03841666666667,0.484,0.309,0.195,0.195,-0.113683333333333,0.52215,0.489,0.452,0.264,-0.141,0.533,0.481,0,0.732,0.751,0.711,0.824,0,0.835,0.709,0.739,0.835,0,0.732,0.751,0.708,0.844,0,TRUE,0.635833333333333,5.84176666666667,0.136,0.113
"866",7557,7557,1,19,1,1,0.740767425857484,-0.00135629996657372,2,8,2,2,0.5,0.958742073271424,2.57824122508367,0.248,0.497,0.755,0.755,1.22295,44.035,0.163,0.497,0.755,0.755,-0.676416666666667,0.978,0.333,1,1,1,1,0.829,0.429,0.182,0.125,0.005,0.303,0.991,0.044,-0.021,-0.075,0.813,0.407,0.182,0.125,0.007,0.534,0.969,TRUE,1.65441666666667,42.81205,0.527,0.298
"867",7623,7623,1,2005,2,1,0.591764124110341,-0.669497353024781,4,16,2,2,0.5,1.19963852362707,2.62129927873611,0.385,0.77,0.991,0.991,0.507383333333333,9.60273333333333,0.006,0.77,0.991,0.991,0.224316666666667,0.983,0.34,1,1,1,1,0.823,0,0.693,0.656,0.442,0.855,0,0.64,0.525,0.349,0.733,0.002,0.693,0.656,0.463,0.852,0,TRUE,0.758683333333333,9.09535,0.389,0.413
"868",7711,7711,1,2013,2,1,0.50822996115312,0.259391727857292,4,16,2,2,0.5,1.09346636850387,2.76048342386881,-0.269,-0.537,-0.595,-0.595,-3.85261666666667,-0.16995,0.328,-0.537,-0.595,-0.595,-0.952683333333333,-0.100316666666667,0.999,-1,-1,-1,-1,0.818,0.02,0.62,0.374,0.155,0.622,0.255,0.513,0.156,0.044,0.311,0.041,0.62,0.374,0.124,0.616,0.157,TRUE,0.852366666666666,3.68266666666667,0.492,0.467
"869",7788,7788,1,2020,2,1,0.342930353712291,0.0180904343724251,4,16,2,2,0.5,1.83069466147572,2.682508512338,-0.069,-0.138,0.13,0.13,-33.3091166666667,48.2672666666666,0.816,-0.138,0.13,0.13,-0.7961,0.922,0.668,-1,1,-1,1,0.999,0,0.777,1.148,0.987,1.317,0,0.805,0.889,0.846,0.95,0,0.777,1.148,0.911,1.409,0,TRUE,1.7181,81.5763833333333,0.498,0.33
"870",7791,7791,1,2023,2,1,0.825678838184103,0.653832215815783,4,16,2,2,0.5,1.2506955335848,2.68197409709295,0.2,0.399,0.561,0.561,0.0952666666666667,5.65156666666667,0.36,0.399,0.561,0.561,0.061,0.978,0.664,1,1,1,1,0.93,0,0.677,0.696,0.489,0.901,0.064,0.612,0.492,0.307,0.719,0.003,0.677,0.696,0.456,0.904,0.006,TRUE,0.917,5.5563,0.448,0.412
"871",7795,7795,1,2027,2,1,0.804203013889492,0.987034915015101,4,16,2,2,0.5,1.70212561869994,2.64380765755971,-0.454,-0.907,-0.741,-0.741,-3.87303333333333,-0.29095,0.182,-0.907,-0.741,-0.741,-0.981683333333333,-0.219,0.999,-1,-1,-1,-1,0.814,0.006,0.455,0.386,0.184,0.596,0.049,0.276,0.222,0.051,0.478,0.038,0.455,0.386,0.176,0.574,0.009,TRUE,0.762683333333333,3.58208333333333,0.398,0.412
"872",7845,7848,1,2034,2,1,0.384892250644043,-0.198175962083042,4,16,2,2,0.5,1.74841145379469,2.52178710699081,0.115,0.23,0.161,0.161,-3.02688333333333,7.32518333333333,0.808,0.23,0.161,0.161,-0.38205,0.785666666666666,0.688,1,1,-1,1,0.815,0,0.749,0.87,0.601,1.15,0,0.747,0.559,0.451,0.78,0.001,0.749,0.87,0.649,1.088,0,TRUE,1.16771666666667,10.3520666666667,0.439,0.549
"873",7895,7903,1,203,1,1,0.516107280505821,-0.113532676361501,4,16,2,2,0.5,1.58018524339423,2.67211191654205,-0.28,-0.561,-0.989,-0.989,-4.86813333333333,-0.787800000000001,0.006,-0.561,-0.989,-0.989,-0.987,-0.466583333333334,0.346,-1,-1,-1,-1,0.844,0,0.701,0.75,0.549,0.953,0.001,0.655,0.485,0.377,0.645,0,0.701,0.75,0.537,0.954,0,TRUE,0.520416666666666,4.08033333333333,0.417,0.404
"874",7906,7914,1,2040,2,1,0.448530880268663,-0.691590007394552,4,16,2,2,0.5,0.706902442034334,2.47691959142685,-0.266,-0.531,-0.562,-0.562,-17.7524833333333,1.4289,0.359,-0.531,-0.562,-0.562,-0.97,0.269916666666665,0.353,-1,-1,-1,1,0.837,0,0.502,0.713,0.503,0.906,0.003,0.336,0.609,0.45,0.834,0.001,0.502,0.713,0.482,0.925,0,TRUE,1.23991666666667,19.1813833333333,0.443,0.403
"875",7947,7958,1,2044,2,1,0.359504047548398,-0.264253475237638,4,16,2,2,0.5,0.4732596850954,2.6370166460673,-0.022,-0.044,-0.499,-0.499,-4.99843333333333,-0.298316666666667,0.395,-0.044,-0.499,-0.499,-0.943366666666667,-0.119,0.679,-1,-1,-1,-1,0.828,0,0.661,0.595,0.457,0.728,0,0.582,0.526,0.412,0.664,0,0.661,0.595,0.432,0.735,0,TRUE,0.824366666666667,4.70011666666666,0.303,0.271
"876",8096,8113,1,2058,2,1,0.743338698754087,0.931710477918386,4,64,4,4,0.5,2.11281447159126,4.60453398625056,0.697,0.929,0.673,0.673,1.21616666666667,5.80638333333333,0.091,0.929,0.673,0.673,0.349316666666667,0.917366666666667,0.085,0.992,0.89,0.591,0.991,0.103,0,0.68,0.723,0.618,0.827,0,0.629,0.546,0.472,0.676,0,0.68,0.723,0.624,0.828,0,TRUE,0.56805,4.59021666666666,0.204,0.209
"877",8130,8147,1,2061,2,1,0.609240137040615,0.625380212906748,4,64,4,4,0.5,3.36763310851529,4.5497637907664,-0.185,-0.246,-0.098,-0.098,-4.96616666666667,2.03416666666666,0.824,-0.246,-0.098,-0.098,-0.45005,0.27615,0.804,-0.403,-0.153,-0.588,0.343,0.846,0,0.761,0.671,0.592,0.774,0,0.822,0.683,0.608,0.841,0,0.761,0.671,0.592,0.781,0,TRUE,0.7262,7.00033333333333,0.189,0.182
"878",8196,8213,1,2067,2,1,0.166689375648275,0.0500415181741118,4,64,4,4,0.5,2.14905931381509,4.46780559619268,0.468,0.624,0.878,0.878,1.517,4.88833333333333,0.01,0.624,0.878,0.878,0.522316666666667,0.942,0.003,0.895,0.929,0.681,0.996,0.068,0,0.639,0.684,0.587,0.792,0,0.655,0.513,0.456,0.648,0,0.639,0.684,0.598,0.794,0,TRUE,0.419683333333333,3.37133333333333,0.196,0.205
"879",8218,8235,1,2069,2,1,0.173042290611193,-0.753683080896735,4,64,4,4,0.5,2.63248408818617,4.35659134785334,0.396,0.528,0.864,0.864,1.37031666666667,6.08945,0.014,0.528,0.864,0.864,0.42,0.927683333333333,0.013,0.639,0.882,0.531,0.991,0.121,0,0.654,0.723,0.631,0.851,0,0.621,0.534,0.49,0.667,0,0.654,0.723,0.633,0.848,0,TRUE,0.507683333333333,4.71913333333333,0.215,0.22
"880",8263,8280,1,2073,2,1,0.460823119385168,-0.0924663664773107,4,64,4,4,0.5,1.60064744761446,4.36153293848038,0.153,0.203,0.042,0.042,-1.87535,2.16426666666666,0.914,0.203,0.042,0.042,-0.267,0.354,0.921,0.258,0.063,-0.398,0.547,0.929,0,0.706,0.822,0.745,0.922,0,0.778,0.684,0.635,0.784,0,0.706,0.822,0.737,0.934,0,TRUE,0.621,4.03961666666666,0.197,0.177
"881",8385,8402,1,2084,2,1,0.450987249845639,0.0563066205941141,4,64,4,4,0.5,1.2266106222081,4.51860200166702,0.346,0.461,0.718,0.718,1.74563333333333,8.00005,0.061,0.461,0.718,0.718,0.299,0.907,0.062,0.611,0.834,0.469,0.976,0.166,0,0.658,0.793,0.72,0.873,0,0.736,0.687,0.653,0.783,0,0.658,0.793,0.721,0.886,0,TRUE,0.608,6.25441666666667,0.165,0.153
"882",8440,8457,1,2089,2,1,0.500227061565965,-0.188545240554959,4,64,4,4,0.5,1.55244249232113,4.4602716644605,0.353,0.471,0.618,0.618,1.18885,9.07863333333333,0.115,0.471,0.618,0.618,0.303633333333333,0.900683333333333,0.114,0.996,0.923,0.523,0.992,0.085,0,0.643,0.58,0.505,0.672,0,0.664,0.54,0.476,0.688,0,0.643,0.58,0.508,0.676,0,TRUE,0.59705,7.88978333333333,0.168,0.167
"883",8786,8803,1,2120,2,1,0.374361410504207,-0.0831486261449754,4,256,8,8,0.5,5.30414640065283,14.3999602794647,0.157,0.18,0.135,0.135,-6.70685,11.0844166666667,0.657,0.18,0.135,0.135,-0.2521,0.46005,0.655,0.25,0.161,-0.324,0.51,0.702,0,0.774,0.778,0.739,0.839,0,0.935,0.731,0.733,0.812,0,0.774,0.778,0.742,0.834,0,TRUE,0.71215,17.7912666666667,0.092,0.1
"884",8886,8903,1,212,1,1,0.708612196147442,-0.357631181366742,4,16,2,2,0.5,0.84840763406828,2.63704213698705,0.103,0.205,-0.011,-0.011,-29.04375,21.4114166666666,0.994,0.205,-0.011,-0.011,-0.864783333333333,0.841516666666666,0.688,1,-1,-1,1,0.924,0,0.853,0.921,0.722,1.109,0,0.969,0.764,0.697,0.881,0,0.853,0.921,0.74,1.089,0,TRUE,1.7063,50.4551666666666,0.349,0.387
"885",8941,8958,1,2134,2,1,0.428520133951679,-0.423327137716115,4,256,8,8,0.5,7.58403484104201,12.5928667227427,-0.382,-0.436,-0.342,-0.342,-6.20406666666667,-1.12865,0.234,-0.436,-0.342,-0.342,-0.530683333333333,-0.117316666666667,0.275,-0.529,-0.387,-0.576,-0.125,0.341,0,0.68,0.679,0.65,0.741,0,0.871,0.709,0.707,0.781,0,0.68,0.679,0.649,0.738,0,TRUE,0.413366666666666,5.07541666666667,0.089,0.091
"886",8997,9014,1,213,1,1,0.302776801399887,-0.203559638466686,4,16,2,2,0.5,1.64959951583296,2.73284050623576,-0.351,-0.701,-0.577,-0.577,-10.0043166666667,-0.0823166666666667,0.332,-0.701,-0.577,-0.577,-0.970683333333333,0.0655166666666661,0.68,-1,-1,-1,-1,0.839,0,0.833,0.606,0.422,0.796,0,0.924,0.509,0.369,0.714,0.001,0.833,0.606,0.383,0.827,0,TRUE,1.0362,9.92200000000003,0.444,0.374
"887",9019,9036,1,2141,2,1,0.309715223265812,-0.890296089928597,4,256,8,8,0.5,6.35207363031805,12.8485728104909,-0.383,-0.437,-0.457,-0.457,-5.81488333333333,-1.74448333333333,0.113,-0.437,-0.457,-0.457,-0.646683333333333,-0.242316666666667,0.139,-0.619,-0.566,-0.746,-0.298,0.147,0,0.717,0.784,0.749,0.842,0,0.825,0.683,0.679,0.757,0,0.717,0.784,0.747,0.842,0,TRUE,0.404366666666666,4.0704,0.095,0.093
"888",9108,9125,1,214,1,1,0.239633966237307,0.28374115889892,4,16,2,2,0.5,1.87179854745045,2.70293924013774,0.317,0.634,0.857,0.857,0.436216666666667,5.64974999999999,0.083,0.634,0.857,0.857,0.18295,0.983683333333333,0.67,1,1,1,1,0.828,0.011,0.57,0.429,0.184,0.674,0.003,0.434,0.223,0.032,0.514,0.032,0.57,0.429,0.178,0.66,0.011,TRUE,0.800733333333333,5.21353333333332,0.482,0.49
"889",9215,9232,1,216,1,1,0.679577530594543,0.117735705338418,4,16,2,2,0.5,1.70016595488414,2.50280106465022,0.457,0.913,0.944,0.944,0.447583333333333,3.65155,0.036,0.913,0.944,0.944,0.470633333333333,0.99,0.676,1,1,1,1,0.821,0.012,0.34,0.51,0.222,0.8,0.005,0.154,0.191,0.021,0.556,0.057,0.34,0.51,0.207,0.801,0.013,TRUE,0.519366666666667,3.20396666666667,0.594,0.578
"890",9617,9634,1,2208,2,1,0.0190150192938745,0.657894806005061,8,32,2,2,0.5,1.86558174714446,2.60516191720963,-0.279,-0.559,-0.854,-0.854,-4.12168333333333,-0.52695,0.095,-0.559,-0.854,-0.854,-0.989,-0.419633333333333,0.319,-1,-1,-1,-1,0.812,0,0.662,0.698,0.509,0.866,0,0.584,0.443,0.305,0.589,0,0.662,0.698,0.541,0.851,0,TRUE,0.569366666666667,3.59473333333333,0.31,0.357
"891",9628,9645,1,2209,2,1,0.00401059910655022,-0.0172586026601493,8,32,2,2,0.5,0.137493014801294,2.70727965434392,0.063,0.126,-0.572,-0.572,-237.969433333333,254.231349999999,0.322,0.126,-0.572,-0.572,-0.928416666666667,0.873683333333333,0.308,1,-1,-1,1,0.805,0,0.847,0.755,0.592,0.927,0,0.956,0.666,0.559,0.798,0,0.847,0.755,0.596,0.916,0,TRUE,1.8021,492.200783333332,0.32,0.335
"892",9629,9646,1,220,1,1,0.306973883416504,-0.525701797567308,4,16,2,2,0.5,1.74594010971487,2.55066404740016,-0.232,-0.463,0.139,0.139,-23.9008166666667,11.0336333333333,0.818,-0.463,0.139,0.139,-0.80905,0.835366666666667,0.665,-1,1,-1,1,0.802,0.004,0.762,0.59,0.304,0.857,0,0.775,0.4,0.145,0.803,0.006,0.762,0.59,0.337,0.867,0,TRUE,1.64441666666667,34.93445,0.53,0.553
"893",10050,10067,1,2247,2,1,0.242803010391071,-0.257545718923211,8,32,2,2,0.5,0.86313202790916,2.72963680028915,0.303,0.606,0.105,0.105,-21.8063166666667,26.6752166666667,0.87,0.606,0.105,0.105,-0.637416666666667,0.814516666666666,0.656,1,1,-1,1,0.8,0,0.833,0.881,0.703,1.06,0,0.926,0.695,0.571,0.822,0,0.833,0.881,0.735,1.039,0,TRUE,1.45193333333333,48.4815333333334,0.304,0.357
"894",10128,10145,1,2254,2,1,0.127144497819245,0.403383828233927,8,128,4,4,0.5,1.52230836284114,4.80909909407298,0.424,0.565,0.456,0.456,0.9018,4.23973333333333,0.262,0.565,0.456,0.456,0.243316666666667,0.67205,0.253,0.819,0.641,0.348,0.838,0.341,0,0.746,0.775,0.707,0.853,0,0.749,0.63,0.593,0.699,0,0.746,0.775,0.708,0.842,0,TRUE,0.428733333333333,3.33793333333333,0.134,0.146
"895",10184,10201,1,225,1,1,0.200963954906911,-0.759126248303801,4,16,2,2,0.5,1.68736342806369,2.71849085092545,-0.054,-0.108,0.215,0.215,-9.44316666666667,14.3228666666667,0.735,-0.108,0.215,0.215,-0.560466666666667,0.867683333333333,0.684,-1,1,-1,1,0.824,0,0.789,0.697,0.495,0.922,0,0.83,0.613,0.443,0.851,0,0.789,0.697,0.512,0.88,0,TRUE,1.42815,23.7660333333334,0.368,0.427
"896",10295,10312,1,226,1,1,0.542312981560826,0.961340650450438,4,16,2,2,0.5,1.05758519237861,2.58379600842794,0.058,0.116,0.347,0.347,-1.04555,11.313,0.565,0.116,0.347,0.347,-0.159883333333333,0.946683333333333,0.665,1,1,-1,1,0.83,0,0.77,0.696,0.454,0.919,0,0.791,0.538,0.319,0.779,0.002,0.77,0.696,0.491,0.896,0,TRUE,1.10656666666667,12.35855,0.405,0.465
"897",10824,10841,1,232,1,1,0.624895257409662,-0.102180018089712,4,16,2,2,0.5,1.9063019505702,2.59239020347595,0.291,0.582,0.407,0.407,-4.14908333333333,9.05431666666667,0.495,0.582,0.407,0.407,-0.198783333333333,0.950416666666666,0.681,1,1,-1,1,0.838,0,0.727,0.86,0.602,1.106,0,0.705,0.59,0.44,0.802,0.001,0.727,0.86,0.628,1.093,0,TRUE,1.1492,13.2034,0.465,0.504
"898",11127,11144,1,235,1,1,0.300422701751813,-0.850181422196329,4,16,2,2,0.5,1.7627845951356,2.62224153677622,0.343,0.686,0.626,0.626,0.139016666666667,5.0325,0.291,0.686,0.626,0.626,0.0393166666666667,0.976366666666666,0.326,1,1,1,1,0.822,0,0.77,0.9,0.62,1.148,0,0.791,0.583,0.406,0.773,0,0.77,0.9,0.643,1.133,0,TRUE,0.937049999999999,4.89348333333333,0.49,0.528
"899",11228,11245,1,236,1,1,0.380598882678896,0.795047835912555,4,16,2,2,0.5,1.66978514473885,2.76180347601573,0.287,0.574,0.531,0.531,0.0038,8.41068333333333,0.378,0.574,0.531,0.531,0.15395,0.958,0.673,1,1,-0.367,1,0.828,0,0.703,0.677,0.496,0.847,0,0.659,0.586,0.484,0.719,0,0.703,0.677,0.529,0.821,0,TRUE,0.80405,8.40688333333333,0.292,0.351
"900",11329,11346,1,237,1,1,0.614975885488093,-0.283086344134063,4,16,2,2,0.5,0.739801584277302,2.74499659538269,-0.319,-0.638,-0.996,-0.996,-4.22128333333333,-0.640583333333334,0.003,-0.638,-0.996,-0.996,-0.987683333333333,-0.292583333333334,0.359,-1,-1,-1,-1,0.836,0,0.704,0.6,0.427,0.762,0.003,0.661,0.476,0.337,0.644,0.002,0.704,0.6,0.448,0.778,0,TRUE,0.695099999999999,3.5807,0.33,0.335
"901",11430,11447,1,238,1,1,0.2715449759271,0.130764408502728,4,16,2,2,0.5,1.45845907879993,2.69143342971802,0.376,0.751,0.865,0.865,0.6368,7.23983333333332,0.081,0.751,0.865,0.865,0.323633333333333,0.990366666666667,0.329,1,1,1,1,0.818,0,0.614,0.771,0.533,0.975,0,0.502,0.539,0.395,0.721,0,0.614,0.771,0.572,0.967,0,TRUE,0.666733333333334,6.60303333333332,0.395,0.442
"902",11531,11548,1,239,1,1,0.695703013101593,0.16253264201805,4,16,2,2,0.5,0.518537514377385,2.50635372797648,0.054,0.107,0.532,0.532,-18.09355,45.1110833333331,0.37,0.107,0.532,0.532,-0.685733333333333,0.946366666666667,0.35,1,1,-1,1,0.827,0,0.781,0.63,0.413,0.846,0.151,0.813,0.56,0.317,0.849,0,0.781,0.63,0.373,0.923,0.02,FALSE,1.6321,63.2046333333331,0.55,0.433
"903",11607,11624,1,240,1,1,0.245471725007519,0.0854358589276671,4,16,2,2,0.5,1.8459074255079,2.39983504613241,-0.386,-0.771,-0.557,-0.557,-7.92641666666667,0.0706333333333302,0.339,-0.771,-0.557,-0.557,-0.968683333333333,0.0496833333333333,0.328,-1,-1,-1,1,0.811,0,0.704,0.886,0.657,1.131,0,0.66,0.608,0.444,0.807,0.001,0.704,0.886,0.63,1.148,0,TRUE,1.01836666666667,7.99705,0.518,0.474
"904",11611,11628,1,2413,2,1,0.201174659421667,0.0244005643762648,16,64,2,2,0.5,1.89328296342865,2.6516410668691,-0.214,-0.428,-0.462,-0.462,-3.79441666666667,-0.370333333333334,0.47,-0.428,-0.462,-0.462,-0.728683333333333,-0.239,0.669,-1,-1,-1,-1,0.799,0,0.773,0.757,0.638,0.871,0,0.796,0.552,0.44,0.669,0,0.773,0.757,0.664,0.856,0,TRUE,0.489683333333333,3.42408333333334,0.192,0.233
"905",11645,11662,1,2418,2,1,0.0590657021384686,-0.498881152831018,16,64,2,2,0.5,1.01487228833139,2.63606527646383,-0.288,-0.575,-0.243,-0.243,-6.01496666666667,0.791733333333333,0.676,-0.575,-0.243,-0.243,-0.52705,0.0246833333333333,0.634,-1,-1,-1,1,0.83,0,0.803,0.855,0.76,0.964,0,0.859,0.728,0.657,0.808,0,0.803,0.855,0.775,0.935,0,TRUE,0.551733333333333,6.8067,0.16,0.204
"906",11679,11696,1,2421,2,1,0.932391403708607,-0.495104785542935,16,64,2,2,0.5,0.594963151961565,2.70397993723551,0.368,0.737,0.543,0.543,-0.769933333333333,30.9492666666667,0.369,0.737,0.543,0.543,0.04785,0.978366666666667,0.362,1,1,-1,1,0.831,0,0.842,0.832,0.717,0.954,0,0.944,0.691,0.59,0.786,0,0.842,0.832,0.736,0.934,0,TRUE,0.930516666666667,31.7192,0.198,0.237
"907",11712,11729,1,2424,2,1,0.191474018152803,-0.206499390304089,16,64,2,2,0.5,1.14212918560952,2.51995257933935,0.371,0.742,0.961,0.961,1.684,9.71121666666666,0.023,0.742,0.961,0.961,0.474316666666667,0.992,0.324,1,1,1,1,0.998,0,0.821,0.782,0.663,0.903,0,0.899,0.602,0.503,0.713,0,0.821,0.782,0.671,0.887,0,TRUE,0.517683333333333,8.02721666666666,0.216,0.24
